"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-10199.1117385447,-10195.8352294363,-10567.1198330086,42255,0.95,-14871.3218312878,-5518.09493478855,NA,NA,NA,NA,NA,NA,NA
"beta1",2005.43334744984,2004.42393202305,2055.56552033521,41614.8,0.95,1289.86439461384,2735.73719381728,NA,NA,NA,NA,NA,NA,NA
"sigma",923.891172566563,910.910079835678,890.674727500108,25314.7,0.95,626.977356293828,1238.11218603542,NA,NA,NA,NA,NA,NA,NA
"nu",31.3515760366475,23.0368009403647,8.38045775810867,9246.8,0.95,1.24287266241649,86.8281751101703,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",1.33228775742845,1.36242216959188,1.42447657325364,12375.3,0.95,0.539260285369794,2.04740646981108,NA,NA,NA,NA,NA,NA,NA
